categorieentreprise,geolocetablissement,trancheeffectifsunitelegale,trancheeffectifsunitelegaletriable,siretsiegeunitelegale,siret,etablissementsiege,codepostaletablissement,caractereemployeurunitelegale,datecreationunitelegale,datecreationetablissement,denominationunitelegale,adresseetablissementcomplete
PME,"[48.895045, 2.365067]",3 à 5 salariés,2,39871358600061,39871358600061,1,75018,1,1993-03-23,2013-11-20,CAPOEIRA VIOLA COMPAGNIE LE SOMMET DE L ABRICOTIER,"18 RUE TCHAIKOVSKI, 75018 PARIS 18"
PME,"[48.852946, 2.391629]",250 à 499 salariés,32,44139367500398,44139367500398,1,75011,1,2002-01-01,2019-04-01,PETITS FRERES PAUVRES ASS GESTI ETABLISS,"19 CITÉ VOLTAIRE, 75011 PARIS 11"
Non productif,"[48.886094, 2.362209]",Etablissement non employeur,-1,84054814300014,84054814300014,1,75018,0,2017-09-07,2017-09-07,COLLECTIF BOMBEAO (B.A.O),"7 RUE JACQUES KABLE, 75018 PARIS 18"
PME,"[48.838653, 2.407688]",3 à 5 salariés,2,34502176000037,34502176000037,1,75012,1,1988-04-01,2009-06-01,COMITE DEP OLYMPIQUE ET SPORTIF DE PARIS,"32 RUE ROTTEMBOURG, 75012 PARIS 12"
PME,"[48.829413, 2.331167]",0 salarié,0,80007601000019,80007601000019,1,75014,1,2014-01-03,2014-01-03,PAR LE MONDE,"61 RUE HALLE, 75014 PARIS 14"
PME,"[48.851134, 2.309779]",6 à 9 salariés,3,78431346200011,78431346200011,1,75007,1,1900-01-01,1900-01-01,ECLAIREURS ISRAELITES DE FR,"27 AVENUE DE SEGUR, 75007 PARIS 7"
PME,"[48.833474, 2.319823]",3 à 5 salariés,2,48332094100022,48332094100022,1,75014,1,2005-03-03,2006-01-31,CAFE ASSOCIATIF PERNETY,"8 RUE SAINTE LEONIE, 75014 PARIS 14"
Non productif,"[48.868399, 2.374453]",Etablissement non employeur,-1,82848233100026,82848233100026,1,75011,0,2016-10-25,2019-04-15,ARTOUS,"61 RUE DE LA FONTAINE AU ROI, 75011 PARIS 11"
PME,"[48.856222, 2.367392]",10 à 19 salariés,11,52502412100051,52502412100051,1,75003,1,2004-06-23,2019-09-03,100% HANDINAMIQUE POUR LA REUSSITE DES JEUNES HANDICAPES (100% HANDINAMIQUE),"50 RUE DES TOURNELLES, 75003 PARIS 3"
PME,"[48.881784, 2.36872]",1 ou 2 salariés,1,83120686700010,83120686700010,1,75010,0,2017-07-12,2017-07-12,LOUISE ROSIER KIDS,"206 QUAI DE VALMY, 75010 PARIS 10"
PME,"[48.885588, 2.311417]",250 à 499 salariés,32,31562941000038,31562941000038,1,75017,1,1979-01-01,2020-10-15,ASSOCIATION LES AMIS - SERVICE A DOMICILE,"111 RUE CARDINET, 75017 PARIS 17"
PME,"[48.873953, 2.364207]",1 ou 2 salariés,1,51812716200015,51812716200015,1,75010,1,2009-10-07,2009-10-07,PARADOXES,"50 RUE BICHAT, 75010 PARIS 10"
ETI,"[48.830493, 2.358766]",500 à 999 salariés,41,77568194300053,77568194300053,1,75013,1,1900-01-01,1900-01-01,SANTE MENTALE LUTTE CONTRE L ALCOOLISME,"11 RUE ALBERT BAYET, 75013 PARIS 13"
PME,"[48.852645, 2.391732]",Etablissement non employeur,-1,44285839500019,44285839500019,1,75011,1,2002-02-12,2002-02-12,ASIAD,"21 RUE VOLTAIRE, 75011 PARIS 11"
PME,"[48.906466, 2.387482]",1 ou 2 salariés,1,49934353100053,49934353100046,0,93300,0,2007-05-18,2011-07-13,CIE MPDA,"77 RUE DES CITES, 93300 AUBERVILLIERS"
PME,"[48.835582, 2.322567]",1 ou 2 salariés,1,82249237700012,82249237700012,1,75014,1,2016-02-11,2016-02-11,KALIZEE,"8 RUE MAISON DIEU, 75014 PARIS 14"
PME,"[48.862045, 2.38375]",3 à 5 salariés,2,80012645000017,80012645000017,1,75011,1,2013-12-19,2013-12-19,RESEAU FRANCILIEN DU REEMPLOI,"125 RUE DU CHEMIN VERT, 75011 PARIS 11"
PME,"[48.880406, 2.376545]",1 ou 2 salariés,1,83267714000028,83267714000028,1,75019,1,2017-02-26,2020-02-20,NOTHING TO HIDE,"20 RUE EDOUARD PAILLERON, 75019 PARIS 19"
Non productif,"[48.885453, 2.321206]",Etablissement non employeur,-1,83054457300017,83054457300017,1,75017,0,2016-01-10,2016-01-10,DO'S MUSICAL,"64 RUE LA CONDAMINE, 75017 PARIS 17"
ETI,"[48.885529, 2.390137]",250 à 499 salariés,32,77566643100322,77566643100322,1,75019,1,1900-01-01,2006-09-27,ASS LOGEMENT JEUNES TRAVAILLEURS,"18 RUE GOUBET, 75019 PARIS 19"
Non productif,"[48.879266, 2.342437]",Etablissement non employeur,-1,51744183800011,51744183800011,1,75009,0,1966-02-04,1966-02-04,ASSOCIATION SPORTIVE SCOLAIRE DU COLLEGE PAUL GAUGUIN,"35 RUE MILTON, 75009 PARIS 9"
Non productif,"[48.845148, 2.381306]",Etablissement non employeur,-1,49366521000032,49366521000032,1,75012,0,2003-07-30,2003-07-30,ASS HAI-LYLYNE,"152 RUE DE CHARENTON, 75012 PARIS 12"
PME,"[48.859527, 2.422284]",6 à 9 salariés,3,80843335300014,80843335300014,1,93170,1,2014-11-18,2014-11-18,COMPAGNIE LES FILLES DE SIMONE,"20 RUE DE LA LIBERTE, 93170 BAGNOLET"
PME,"[48.890596, 2.341538]",Etablissement non employeur,-1,84753850100010,84753850100010,1,75018,1,2017-12-26,2017-12-26,AH LA LA PRODUCTION,"1 RUE JULES JOUY, 75018 PARIS 18"
PME,"[48.870963, 2.354945]",1 ou 2 salariés,1,45325987100029,45325987100029,1,75010,1,1998-01-23,2012-07-01,ASSOCIATION TENCHI,"25 BOULEVARD DE STRASBOURG, 75010 PARIS 10"
PME,"[48.895056, 2.342842]",1 ou 2 salariés,1,47821437200029,47821437200029,1,75018,1,2002-12-24,2006-06-21,MILA 18,"2 RUE ANDRE MESSAGER, 75018 PARIS 18"
PME,"[48.845112, 2.354206]",Etablissement non employeur,-1,40065444800044,40065444800044,1,75005,1,1995-01-01,2015-12-11,GRS GLACIERE XIII,"4 RUE DES ARENES, 75005 PARIS 5"
PME,"[48.889233, 2.345373]",3 à 5 salariés,2,43533315800028,43533315800028,1,75018,1,2001-01-19,2011-04-26,COORDINATION TOXICOMANIES,"46 RUE CUSTINE, 75018 PARIS 18"
PME,"[48.851659, 2.346113]",3 à 5 salariés,2,52129623600016,52129623600016,1,75005,1,2010-02-22,2010-02-22,ASSO DES VULNERABLES DES ENERGIES DES COMPETENCES,"19 RUE SAINT JACQUES, 75005 PARIS 5"
PME,"[49.073741, 2.183751]",1 ou 2 salariés,1,39778807600016,39778807600016,1,95430,0,1994-06-09,1994-06-09,ENGRENAGE THEATRE,"5 RUE DU MONTCEL, 95430 AUVERS-SUR-OISE"
PME,"[48.885169, 2.352688]",1 ou 2 salariés,1,49880397200013,49880397200013,1,75018,1,2002-07-26,2002-07-26,CHAUSSETTES SOLIDAIRES,"2 RUE DES GARDES, 75018 PARIS 18"
PME,"[48.849399, 2.289653]",1 ou 2 salariés,1,53108469700014,53108469700014,1,75015,1,2010-12-22,2010-12-22,VIVALIVE,"50 RUE ROUELLE, 75015 PARIS 15"
PME,"[48.873074, 2.226074]",1 ou 2 salariés,1,80875381800018,80875381800018,1,92150,1,2014-10-08,2014-10-08,LES PETITS TRILINGUES,"5 RUE HONORE D ESTIENNE D ORVES, 92150 SURESNES"
Non productif,"[48.863649, 2.362]",Etablissement non employeur,-1,30211336000044,30211336000028,0,75003,0,1900-01-01,1989-08-10,CENTRE SUBAQUATIQUE FRANCAIS,"10 RUE CAFFARELLI, 75003 PARIS 3"
PME,"[48.899151, 2.320685]",1 ou 2 salariés,1,48013001200044,48013001200044,1,75017,0,2004-12-17,2016-07-04,LA FABRIQUE DES PETITS HASARDS,"5 BOULEVARD DU BOIS LE PRETRE, 75017 PARIS 17"
Non productif,"[48.872259, 2.376412]",Etablissement non employeur,-1,88335753500011,88335753500011,1,75010,0,2020-04-16,2020-04-16,LE CONCERT FANTASTIQUE,"3 BOULEVARD DE LA VILLETTE, 75010 PARIS 10"
PME,"[48.866597, 2.380868]",1 ou 2 salariés,1,48338708000011,48338708000011,1,75011,1,2005-05-06,2005-05-06,APICED,"141 RUE OBERKAMPF, 75011 PARIS 11"
PME,"[48.858745, 2.345606]",Etablissement non employeur,-1,83538235900015,83538235900015,1,75001,1,2018-02-01,2018-02-01,ATELIERS OBEDIA,"15 RUE JEAN LANTIER, 75001 PARIS 1"
PME,"[48.841839, 2.390309]",6 à 9 salariés,3,32410595600027,32410595600027,1,75012,0,1981-10-01,2017-12-01,ASS ARC EN CIEL 12,"36 ALLÉE VIVALDI, 75012 PARIS 12"
PME,"[48.850315, 2.362374]",10 à 19 salariés,11,32564612300035,32564612300035,1,75004,1,1982-06-01,2019-04-01,CONST ARCHITECT URBAIN ENVIRONNEMENT,"7 RUE AGRIPPA D AUBIGNE, 75004 PARIS 4"
PME,"[48.822633, 2.361318]",3 à 5 salariés,2,41526643600039,41526643600039,1,75013,1,1997-09-15,2018-02-07,LA DOMREMY GYMNASTIQUE,"11 RUE CAILLAUX, 75013 PARIS 13"
PME,"[48.885808, 2.314059]",Etablissement non employeur,-1,81193978400013,81193978400013,1,75017,1,2015-05-27,2015-05-27,ARTISTIX WAY LA VOIE EST LIBRE ET INFINIE,"27 RUE SALNEUVE, 75017 PARIS 17"
PME,"[48.894896, 2.342832]",1 ou 2 salariés,1,42498729500013,42498729500013,1,75018,0,1999-08-17,1999-08-17,ASSOCIATION MA'OHI,"3 RUE ANDRE MESSAGER, 75018 PARIS 18"
PME,"[48.854027, 2.389583]",3 à 5 salariés,2,38361407000043,38361407000043,1,75011,1,1991-04-06,2015-02-11,FEDERATION DES ASSOCIATIONS REFLEXION ACTION PRISON ET JUSTICE,"22 RUE NEUVE DES BOULETS, 75011 PARIS 11"
PME,"[48.893729, 2.345965]",0 salarié,0,41285838300026,41285838300026,1,75018,0,1997-01-07,2008-10-01,L AUTRE SOUFFLE,"34 SQUARE DE CLIGNANCOURT, 75018 PARIS 18"
PME,"[48.875336, 2.356131]",Etablissement non employeur,-1,40240476800069,40240476800069,1,75010,1,1995-12-01,2019-12-20,FATA MORGANA,"110 RUE DU FBG SAINT DENIS, 75010 PARIS 10"
PME,"[48.888923, 2.370885]",1 ou 2 salariés,1,51458658500010,51458658500010,1,75019,1,2009-08-05,2009-08-05,COLLECTIF INDEPENDANT LOCATAIRES RESIDENCE TANGER,"53 RUE DE TANGER, 75019 PARIS 19"
Non productif,"[48.895031, 2.323751]",Etablissement non employeur,-1,83395478700028,83395478700028,1,75017,0,2017-08-23,2018-04-09,BIODIVERSITY FOR PEACE (B4P),"25 RUE LANTIEZ, 75017 PARIS 17"
Non productif,"[48.872002, 2.366549]",Etablissement non employeur,-1,83373929500016,83373929500016,1,75010,0,2017-09-12,2017-09-12,BAS LES PAILLES,"12 RUE MARIE ET LOUISE, 75010 PARIS 10"
PME,"[48.886824, 2.317581]",3 à 5 salariés,2,80229721800025,80229721800017,0,75017,1,2014-01-09,2014-01-09,CENTRE PAROISSIAL D'INTIATIVES JEUNES OZANAM ( CEPIJE OZANAM ),"77 PLACE DU DR F LOBLIGEOIS, 75017 PARIS 17"
PME,"[48.889344, 2.354479]",Etablissement non employeur,-1,52534018800024,52534018800024,1,75018,0,2010-07-14,2014-07-18,SOLIDARITE CHATEAU-ROUGE,"11 RUE ERNESTINE, 75018 PARIS 18"
Non productif,"[48.870959, 2.341624]",Etablissement non employeur,-1,53530184000026,53530184000018,0,75002,0,2006-11-24,2006-11-24,VILLAGE DES PANORAMAS VARIETES MONTMARTRE DIT VILLAGE DES PANORMAS,"49 PASSAGE DES PANORAMAS, 75002 PARIS 2"
PME,"[48.875374, 2.420159]",Etablissement non employeur,-1,53192055100037,53192055100029,0,93170,1,2011-02-18,2015-12-09,SPAT' SONORE,"148 AVENUE DE LA DHUYS, 93170 BAGNOLET"
Non productif,"[48.857929, 2.32948]",Etablissement non employeur,-1,44999914300018,44999914300018,1,75007,0,1998-10-13,1998-10-13,CINE D'HIER,"36 RUE DE VERNEUIL, 75007 PARIS 7"
PME,"[48.856367, 2.383388]",1 ou 2 salariés,1,43393957600032,43393957600032,1,75011,1,2000-09-15,2006-01-17,ORPHELINS-SIDA-INTERNATIONAL,"4 RUE DE BELFORT, 75011 PARIS 11"
PME,"[48.836621, 2.401108]",20 à 49 salariés,12,51479033600010,51479033600010,1,75012,1,2009-07-24,2009-07-24,REGIE DE QUARTIER FECAMP 12,"51 RUE DE FECAMP, 75012 PARIS 12"
PME,"[48.878147, 2.354139]",1 ou 2 salariés,1,42110284900013,42110284900013,1,75010,1,1997-07-29,1997-07-29,L'AIRE A MOTS,"99 BOULEVARD DE MAGENTA, 75010 PARIS 10"
Non productif,"[48.92196, 2.541436]",Etablissement non employeur,-1,82360268500013,82360268500013,1,93190,0,2015-11-27,2015-11-27,ARC-EN-CIEL,"3 RUE PACHOT LAINE, 93190 LIVRY-GARGAN"
PME,"[48.886001, 2.3507]",6 à 9 salariés,3,38411101900012,38411101900012,1,75018,1,1991-11-06,1991-11-06,ARBRE BLEU,"52 RUE POLONCEAU, 75018 PARIS 18"
PME,"[48.879147, 2.342505]",3 à 5 salariés,2,50114792000034,50114792000034,1,75009,1,2007-09-27,2018-01-25,ASS TOUT AUTRE CHOSE,"40 RUE MILTON, 75009 PARIS 9"
PME,"[48.881395, 2.362914]",3 à 5 salariés,2,82998324600028,82998324600028,1,75010,1,2017-05-04,2018-06-18,LA TEXTILERIE,"22 RUE DE CHATEAU LANDON, 75010 PARIS 10"
Non productif,"[48.863078, 2.354327]",Etablissement non employeur,-1,51419824100010,51419824100010,1,75003,0,1997-06-10,1997-06-10,DOUBLE JEU TENNIS PARIS,"63 RUE BEAUBOURG, 75003 PARIS 3"
PME,"[48.859963, 2.357272]",1 ou 2 salariés,1,48423928000023,48423928000023,1,75003,1,2001-10-01,2014-07-01,COMITE FRANCAIS DU BOUCLIER BLEU,"60 RUE DES FRANCS BOURGEOIS, 75003 PARIS 3"
PME,"[48.895358, 2.349426]",3 à 5 salariés,2,49791570200045,49791570200037,0,75018,1,2006-07-12,2012-01-01,ASS CULTURES SUR COUR,"147 RUE DE CLIGNANCOURT, 75018 PARIS 18"
PME,"[48.828243, 2.272328]",1 ou 2 salariés,1,84240889000015,84240889000015,1,75015,1,2018-09-09,2018-09-09,ENSEMBLE AUX FRERES VOISIN,"18 ALLÉE DES FRERES VOISIN, 75015 PARIS 15"
PME,"[48.873289, 2.391256]",10 à 19 salariés,11,30900121200047,30900121200047,1,75020,0,1900-01-01,2019-02-19,RELAIS MENILMONTANT,"70 RUE DES RIGOLES, 75020 PARIS 20"
PME,"[48.885344, 2.338363]",3 à 5 salariés,2,53755352100023,53755352100023,1,75018,1,2011-10-31,2017-01-13,ASSOCIATION DE MEDIATION POUR UN USAGE OPTIMAL DE LA NUIT (AMUON) - LES PIERROTS DE LA NUIT,"10 PASSAGE DES ABBESSES, 75018 PARIS 18"
PME,"[45.759343, 4.926403]",20 à 49 salariés,12,43122571300061,43122571300061,1,69120,1,1999-11-02,2015-08-01,ENTREPRENEURS DU MONDE,"4 ALLÉE DU TEXTILE, 69120 VAULX-EN-VELIN"
PME,"[48.830303, 2.301819]",20 à 49 salariés,12,38772311700017,38772311700017,1,75015,1,1992-01-01,1992-01-01,THEATRE SILVIA MONFORT,"106 RUE BRANCION, 75015 PARIS 15"
PME,"[48.899086, 2.340268]",3 à 5 salariés,2,50790493600030,50790493600030,1,75018,1,2008-07-22,2014-01-06,LA SIERRA PROD,"20 RUE CAMILLE FLAMMARION, 75018 PARIS 18"
PME,"[48.899598, 2.347557]",1 ou 2 salariés,1,78863832800013,78863832800013,1,75018,1,2012-09-12,2012-09-12,CHOEUR ET ORCHESTRE SORBONNE UNIVERSITES,"2 RUE FRANCIS DE CROISSET, 75018 PARIS 18"
Non productif,"[48.855028, 2.30699]",Etablissement non employeur,-1,84320838000017,84320838000017,1,75007,0,2018-09-26,2018-09-26,ASSOCIATION DES COMMERCANTS DU QUARTIER DE LA MOTTE PICQUET,"31 AVENUE DE LA MOTTE PICQUET, 75007 PARIS 7"
PME,"[48.884125, 2.365344]",250 à 499 salariés,32,78441436900065,78441436900065,1,75010,1,1900-01-01,2012-12-01,FEDERATION DE PARIS DE LA LIGUE DE L ENSEIGNEMENT,"167 BOULEVARD DE LA VILLETTE, 75010 PARIS 10"
Non productif,"[48.868297, 2.385659]",Etablissement non employeur,-1,78940345800043,78940345800035,0,75020,0,2012-10-23,2018-09-28,CENTRE CULTUREL DANSE DU ZEBRE,"1 PLACE MAURICE CHEVALIER, 75020 PARIS 20"
PME,"[48.886221, 2.324706]",6 à 9 salariés,3,48925534900032,48925534900032,1,75017,1,2002-07-24,2010-05-31,ARIANA,"15 RUE HELENE, 75017 PARIS 17"
PME,"[48.885789, 2.355302]",10 à 19 salariés,11,38873953400021,38873953400021,1,75018,1,1991-12-17,1996-07-25,SALLE SAINT BRUNO,"9 RUE ST BRUNO, 75018 PARIS 18"
PME,"[48.854851, 2.356314]",1 ou 2 salariés,1,42435979200019,42435979200019,1,75004,1,1987-03-24,1987-03-24,ASSOCIATION FONDS MEMOIRE D AUSCHWITZ,"17 RUE GEOFFROY L ASNIER, 75004 PARIS 4"
PME,"[48.878496, 2.337741]",100 à 199 salariés,22,78441204100013,78441204100013,1,75009,1,1900-01-01,1900-01-01,UNION DEPARTEMENTALE ASS FAMILIAL PARIS,"28 PLACE SAINT GEORGES, 75009 PARIS 9"
PME,"[48.833514, 2.366378]",3 à 5 salariés,2,75045418300021,75045418300021,1,75013,0,2011-12-19,2018-05-23,CABANE A JEUX,"8 SQUARE DUNOIS, 75013 PARIS 13"
Non productif,"[48.860516, 2.311308]",Etablissement non employeur,-1,81078828100022,81078828100022,1,75007,0,2015-04-13,2016-07-01,QUINTETTE ASSOCIATION,"24 RUE FABERT, 75007 PARIS 7"
PME,"[48.857346, 2.34779]",100 à 199 salariés,22,77566172100024,77566172100024,1,75004,1,1900-01-01,1986-06-30,THEATRE DE LA VILLE,"2 PLACE DU CHATELET, 75004 PARIS 4"
Non productif,"[48.877936, 2.404248]",Etablissement non employeur,-1,84162859700012,84162859700012,1,75019,1,2018-04-26,2018-04-26,CYBER ECRIVAIN PUBLIC,"33 BOULEVARD SERURIER, 75019 PARIS 19"
Non productif,"[48.864844, 2.346706]",Etablissement non employeur,-1,78931903500026,78931903500018,0,75002,0,1991-11-18,1991-11-18,ASSOCIATION POUR LA DEFENSE ET L ANIMATION DES COMMERCES ET ENTREPRISES DU QUARTIER MONTORGUEIL,"41 RUE MONTORGUEIL, 75002 PARIS 2"
PME,"[48.864735, 2.355955]",3 à 5 salariés,2,49410179300037,49410179300037,1,75003,1,2002-09-10,2019-09-13,PARIS STREET CULTURE,"26 RUE AU MAIRE, 75003 PARIS 3"
PME,"[48.89928, 2.396625]",50 à 99 salariés,21,41190781900022,41190781900022,1,93500,1,1995-07-07,1999-06-01,ASSOCIATION COUP DE MAIN,"31 AVENUE EDOUARD VAILLANT, 93500 PANTIN"
PME,"[48.862293, 2.399418]",Etablissement non employeur,-1,84103338400022,84103338400022,1,75020,1,2018-01-02,2019-08-12,DESCODEUSES,"18 RUE RAMUS, 75020 PARIS 20"
PME,"[48.851237, 2.367228]",3 à 5 salariés,2,52355356800032,52355356800032,1,75004,1,2010-04-07,2018-09-24,LA CHANCE POUR LA DIVERSITE DANS LES MEDIAS,"29 BOULEVARD BOURDON, 75004 PARIS 4"
PME,"[48.877244, 2.374286]",3 à 5 salariés,2,44199978600037,44199978600037,1,75019,1,2002-03-25,2013-06-28,LES YEUX DE L OUIE,"90 AVENUE SIMON BOLIVAR, 75019 PARIS 19"
PME,"[49.164784, 5.381963]",3 à 5 salariés,2,47799817300025,47799817300025,1,55100,1,2004-07-01,2011-01-04,IRIS,"3 RUE DE LA PAIX, 55100 VERDUN"
PME,"[48.857092, 2.405514]",1 ou 2 salariés,1,38505521500037,38505521500037,1,75020,1,1991-12-25,1999-09-30,CENTRE ISP REGION PARISIENNE,"12 RUE COURAT, 75020 PARIS 20"
Non productif,"[48.846038, 2.397464]",Etablissement non employeur,-1,48119746500026,48119746500026,1,75012,0,1974-06-13,1998-06-03,COM 12EME AR FED NAT ANC COMBAT ALGERIE,"9 AVENUE DU BEL AIR, 75012 PARIS 12"
PME,"[48.854464, 2.402911]",6 à 9 salariés,3,48463084300023,48463084300023,1,75020,1,2005-05-30,2010-02-18,ASSOCIATION DUMAS REUNION,"65 RUE DES HAIES, 75020 PARIS 20"
PME,"[48.829191, 2.361102]",20 à 49 salariés,12,32810007800059,32810007800059,1,75013,1,1981-11-10,2014-06-02,SCIENCE TECHNOLOGIE ET SOCIETE,"54 AVENUE EDISON, 75013 PARIS 13"
PME,"[48.851562, 2.358259]",50 à 99 salariés,21,77569699000206,77569699000198,0,75004,1,1900-01-01,2019-01-01,CTRE LOGEME JEUNES TRAVAI ETUDIA STAGIAI,"7 RUE POULLETIER, 75004 PARIS 4"
Non productif,"[2.2847691,48.8616154]",Etablissement non employeur,-1,83405071800016,83405071800016,1,75116,0,2017-10-11,2017-10-11,ASSOCIATION MANASSE,"2 AVENUE PAUL DOUMER, 75116 PARIS 16"
PME,"[48.859305, 2.3058]",Etablissement non employeur,-1,48992789700012,48992789700012,1,75007,1,2000-07-19,2000-07-19,CERCLE SPORTIF KARATE DO SHOTOKAN,"109 RUE ST DOMINIQUE, 75007 PARIS 7"
Non productif,"[48.870358, 2.384085]",Etablissement non employeur,-1,84168988800011,84168988800011,1,75020,0,2018-07-27,2018-07-27,A.SWA,"57 RUE JULIEN LACROIX, 75020 PARIS 20"
PME,"[48.571754, 1.946676]",6 à 9 salariés,3,37868683600024,37868683600024,1,78730,1,1989-12-01,1989-12-01,FONDATION ARAGON ELSA TRIOLET,"MOULIN DU CHE DE LA VILLEN, 78730 SAINT-ARNOULT-EN-YVELINES"
PME,"[48.825896, 2.306846]",6 à 9 salariés,3,35377356700014,35377356700014,1,75014,1,1990-01-01,1990-01-01,THEATRE PARIS 14,"20 AVENUE MARC SANGNIER, 75014 PARIS 14"
PME,"[48.868442, 2.369567]",10 à 19 salariés,11,44400180400046,44400180400038,0,75011,1,2002-07-01,2010-03-01,PARCOURS D'EXIL,"12 RUE DE LA FONTAINE AU ROI, 75011 PARIS 11"
PME,"[48.840488, 2.392507]",20 à 49 salariés,12,47805699700016,47805699700016,1,75012,1,2004-05-27,2004-05-27,ASSOCIATION PIMMS DE PARIS,"181 AVENUE DAUMESNIL, 75012 PARIS 12"
PME,"[48.885208, 2.350918]",Etablissement non employeur,-1,50775173300027,50775173300019,0,75018,0,2006-11-29,2006-11-29,SOS CASAMANCE,"46 RUE DE LA GOUTTE D OR, 75018 PARIS 18"
PME,"[48.894827, 2.372141]",1 ou 2 salariés,1,78441412000088,78441412000062,0,75019,1,1985-01-15,2006-09-01,GROUPE D'ENTRAIDE REGIONAL POUR MIEUX APPRENDRE ENSEMBLE,"251 RUE DE CRIMEE, 75019 PARIS 19"
PME,"[48.861266, 2.378502]",Etablissement non employeur,-1,44797313200023,44797313200023,1,75011,1,2000-11-24,2007-10-02,ENTENTE SPORTIVE ET CULTURELLE DU XIE,"8 RUE DU GENERAL RENAULT, 75011 PARIS 11"
Non productif,"[48.893491, 2.351213]",Etablissement non employeur,-1,83854008600017,83854008600017,1,75018,1,2018-02-05,2018-02-05,COLLECTIF ARCHIVES LGBTQI,"11 RUE DU SIMPLON, 75018 PARIS 18"
PME,"[48.854571, 2.398311]",Etablissement non employeur,-1,75071223400012,75071223400012,1,75020,1,2012-02-16,2012-02-16,ASSOCIATION COUD'ACOUD',"17 RUE DE TERRE NEUVE, 75020 PARIS 20"
PME,"[48.848408, 2.358406]",3 à 5 salariés,2,34126434900026,34126434900018,0,75005,1,1987-02-01,1987-02-01,ASSOCIATION SPORTIVE DE SORBONNE UNIVERSITE FACULTES DE SCIENCES & INGENIERIE ET DE MEDECINE,"11 QUAI SAINT BERNARD, 75005 PARIS 5"
PME,"[48.84397, 2.347452]",6 à 9 salariés,3,42514102500030,42514102500030,1,75005,1,1979-10-19,2019-07-01,ASSO SPORT ET LOISIRS,"16 BOULEVARD SAINT GERMAIN, 75005 PARIS 5"
PME,"[48.878797, 2.368995]",3 à 5 salariés,2,44365121100056,44365121100056,1,75010,1,2002-06-24,2012-07-01,ASSOCIATION ROBERT DESNOS,"9 RUE LOUIS BLANC, 75010 PARIS 10"
PME,"[48.869323, 2.369153]",1 ou 2 salariés,1,51361969200033,51361969200033,1,75011,0,2009-05-18,2017-08-21,GE PARIS CULTURE,"44 RUE DU FAUBOURG DU TEMPLE, 75011 PARIS 11"
PME,"[48.892078, 2.375363]",50 à 99 salariés,21,50996337700130,50996337700130,1,75019,1,2008-10-30,2013-10-01,RESEAU MOM'ARTRE,"204 RUE DE CRIMEE, 75019 PARIS 19"
PME,"[48.793146, 2.285607]",1 ou 2 salariés,1,49773587800025,49773587800025,1,92260,1,2006-11-28,2011-05-05,COLLECTIF SAUF LE DIMANCHE,"28 RUE LA BOISSIERE, 92260 FONTENAY-AUX-ROSES"
PME,"[48.65137, 2.282816]",Etablissement non employeur,-1,48870041000027,48870041000027,1,91310,1,2005-10-06,2014-08-25,COMPAGNIE DEF MAIRA,"68 RUE DE LONGPONT, 91310 LONGPONT-SUR-ORGE"
PME,"[48.890821, 2.378]",Etablissement non employeur,-1,83982908200016,83982908200016,1,75019,0,2018-03-09,2018-03-09,MELTINGCOOP,"13 RUE DE JOINVILLE, 75019 PARIS 19"
PME,"[48.894581, 2.311614]",10 à 19 salariés,11,41226189300066,41226189300066,1,75017,1,1997-04-15,2011-12-01,CREPI ILE DE FRANCE,"14 RUE ANDRE SUARES, 75017 PARIS 17"
PME,"[48.891609, 2.37588]",3 à 5 salariés,2,42486753900027,42486753900027,1,75019,1,1995-09-01,2005-07-18,JUDO FRANCE PARIS,"198 RUE DE CRIMEE, 75019 PARIS 19"
PME,"[48.839448, 2.278039]",3 à 5 salariés,2,75383719400038,75383719400038,1,75015,0,2010-04-19,2018-02-01,CULTURES DU COEUR-PARIS,"76 RUE BALARD, 75015 PARIS 15"
Non productif,"[48.895031, 2.323751]",Etablissement non employeur,-1,83759215300022,83759215300022,1,75017,0,2017-11-15,2018-11-12,CALLIOPE - CITE DES ARTS DE LA PAROLE ET DU BIEN DIRE,"25 RUE LANTIEZ, 75017 PARIS 17"
Non productif,"[48.845085, 2.398781]",Etablissement non employeur,-1,83232001400026,83232001400026,1,75012,0,2017-08-14,2017-08-14,LA MAISON DE LA COSMETHIQUE,"22 AVENUE DE ST MANDE, 75012 PARIS 12"
PME,"[43.63021, 3.902253]",1 ou 2 salariés,1,80988780500020,80988780500020,1,34170,1,2015-01-04,2017-02-17,COMPAGNIE VIRGULE,"551 AVENUE DE L EUROPE, 34170 CASTELNAU-LE-LEZ"
PME,"[48.825047, 2.351624]",100 à 199 salariés,22,77568219800053,77568219800053,1,75013,1,1984-12-01,1984-12-01,OEUVRE DE LA MIE DE PAIN,"18 RUE CHARLES FOURIER, 75013 PARIS 13"
PME,"[48.862392, 2.36748]",6 à 9 salariés,3,52430758400036,52430758400036,1,75011,1,2010-08-01,2017-02-01,ASSOCIATION JOSEPHINE POUR LA BEAUTE DES FEMMES,"102 RUE AMELOT, 75011 PARIS 11"
PME,"[48.876658, 2.387675]",Etablissement non employeur,-1,78875337400016,78875337400016,1,75019,1,2012-09-11,2012-09-11,LES FACES CACHEES,"35 RUE DE LA VILLETTE, 75019 PARIS 19"
